ava_id,name,ym,tmean_mean,tmean_min,tmean_max,ppt_mean,ppt_min,ppt_max
candy_mountain,Candy Mountain,200902,1.7720000743865967,1.340000033378601,2.0199999809265137,18.75226821899414,18.422250747680664,19.0063419342041
columbia_gorge,Columbia Gorge,200902,2.008264933932499,0.2800000011920929,3.680000066757202,85.32551840342343,49.63005447387695,112.27200317382812
columbia_valley_19841213,Columbia Valley,200902,1.217953399693574,-4.080000400543213,4.810000419616699,22.54775987919147,5.570674896240234,92.36599731445312
columbia_valley,Columbia Valley,200902,1.2056424351222836,-4.080000400543213,4.7900004386901855,22.55766291950701,5.570674896240234,92.36599731445312
columbia_valley_20010427,Columbia Valley,200902,1.2179719985124762,-4.080000400543213,4.810000419616699,22.552681114541468,5.570674896240234,92.36599731445312
goose_gap,Goose Gap,200902,1.9872000780972567,1.4800000190734863,2.2900002002716064,19.4807242306796,18.08108139038086,19.97648811340332
horse_heaven_hills,Horse Heaven Hills,200902,1.8170942864127388,-0.7500000596046448,2.7800002098083496,20.111192430803662,14.5972900390625,29.092103958129883
lake_chelan,Lake Chelan,200902,-0.4673451543373542,-1.8200000524520874,0.7900000214576721,16.06906397152791,14.066506385803223,18.81399917602539
lewis_clark_valley,Lewis-Clark Valley,200902,3.3659734436744495,0.6300000548362732,4.970000267028809,23.763072404697652,15.529999732971191,39.939998626708984
naches_heights,Naches Heights,200902,1.7946279936058576,1.2200000286102295,2.190000057220459,16.62934633742931,15.949959754943848,18.273000717163086
puget_sound,Puget Sound,200902,4.406338239151719,1.2200000286102295,6.270000457763672,43.57159785723676,21.139999389648438,96.99600219726562
rattlesnake_hills,Rattlesnake Hills,200902,1.7506143966204604,0.4300000071525574,2.31000018119812,14.395097218735318,12.732999801635742,16.81399917602539
red_mountain,Red Mountain,200902,2.2165626287460327,1.3900001049041748,2.4100000858306885,19.14422696828842,18.319133758544922,19.983247756958008
rocky_reach,Rocky Reach,200902,0.9564027030400075,-0.7100000381469727,2.130000114440918,14.958641562841635,12.45199966430664,18.836000442504883
royal_slope,Royal Slope,200902,1.3352612919975704,0.3800000250339508,1.970000147819519,15.317226110085995,13.553999900817871,19.88926887512207
snipes_mountain,Snipes Mountain,200902,1.9995601129531861,1.8900001049041748,2.1100001335144043,16.43012680053711,16.301279067993164,16.761348724365234
the_burn_of_columbia_valley,The Burn of Columbia Valley,200902,2.40666677211893,2.1500000953674316,2.760000228881836,25.62912649395822,25.09000015258789,27.58799934387207
wahluke_slope,Wahluke Slope,200902,2.011058070305465,1.3300000429153442,2.750000238418579,14.842210410297781,14.1193208694458,15.699912071228027
walla_walla_valley_19840112,Walla Walla Valley,200902,2.320702363906858,0.9100000262260437,3.120000123977661,30.170009673737738,19.059541702270508,69.35299682617188
walla_walla_valley,Walla Walla Valley,200902,2.34600328892239,0.9100000262260437,3.120000123977661,30.268809045754328,19.059541702270508,69.35299682617188
white_bluffs,White Bluffs,200902,1.8918545805263816,1.6600000858306885,2.4200000762939453,21.38855212244087,19.65774917602539,26.60622215270996
yakima_valley_19830504,Yakima Valley,200902,1.6101347601549976,-1.0700000524520874,2.820000171661377,18.270039205800003,12.732999801635742,48.319000244140625
